comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Human 4 vs minicpm_v,240,0.05992036515489944,49.583333333333336,240,0.0,93.33333333333333,240,-0.04759017884207363,70.0,240,-0.05263157894736863,79.58333333333333,240,0.0046608960334823535,9.166666666666666,minicpm_v,Human 4,0
Human 5 vs minicpm_v,240,0.0205858347692028,43.75,240,0.0,87.5,240,-0.00047915668423581997,63.74999999999999,240,0.010008114687584793,74.58333333333333,240,-0.009733988640492621,8.333333333333332,minicpm_v,Human 5,0
Human 1 vs openai_gpt_4o,240,0.09016393442622953,53.75,240,-0.015625000000000375,89.16666666666667,240,-0.05387169326336067,65.83333333333333,240,-0.0650000000000002,70.41666666666667,240,0.0077452201700698746,4.583333333333333,openai_gpt_4o,Human 1,0
Human 2 vs openai_gpt_4o,240,0.08307210031347954,51.24999999999999,240,-0.015673981191224033,88.75,240,-0.07629133347741536,65.41666666666667,240,0.10360029390154311,74.58333333333333,240,-0.01315148563078421,2.5,openai_gpt_4o,Human 2,0
Human 3 vs openai_gpt_4o,240,-0.08585858585858558,46.25,240,-0.01599247412982074,85.0,240,0.017913976539056287,62.5,240,0.02229845626072047,68.33333333333333,240,-0.0004150350975332479,3.75,openai_gpt_4o,Human 3,0
Human 4 vs openai_gpt_4o,240,0.10194174757281552,53.75,240,-0.015037593984961751,92.5,240,0.097214059010227,73.33333333333333,240,-0.013960323291697113,71.25,240,9.017945711966782e-05,3.75,openai_gpt_4o,Human 4,0
Human 5 vs openai_gpt_4o,240,0.020376175548589393,47.91666666666667,240,-0.01587301587301582,86.66666666666667,240,-0.009261009261009197,62.916666666666664,240,0.0014746155466609427,67.08333333333333,240,0.008997637894660914,4.583333333333333,openai_gpt_4o,Human 5,0
Human 1 vs openai_gpt_4o_mini,240,0.17381032737090765,57.49999999999999,240,0.03162055335968297,79.58333333333333,240,-0.0441116956697691,64.16666666666667,240,-0.07035175879397003,70.41666666666667,240,0.0,0.0,openai_gpt_4o_mini,Human 1,0
Human 2 vs openai_gpt_4o_mini,240,0.12537561536986125,52.5,240,-0.012987012987013465,78.33333333333333,240,-0.11337683523654138,62.083333333333336,240,0.14327917282127026,75.83333333333333,240,0.0,0.0,openai_gpt_4o_mini,Human 2,0
Human 3 vs openai_gpt_4o_mini,240,-0.03743986613679141,48.333333333333336,240,-0.018411967779056505,75.41666666666667,240,0.05296387232549996,62.5,240,-0.02243313201035381,67.08333333333333,240,0.0,0.0,openai_gpt_4o_mini,Human 3,0
